"","...1","Match_D","Match_G","Match_H","Document group","Document name","Code","Beginning","End","Weight score","Segment","Author","Creation date","Area","Coverage %","clean_text"
"1",1,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Leader.deliberately.behaving.against.Military.valuesstandards",78,90,0,"Interviewee:		So we know when things are going on, we can tell when an NCO – because there's professionalism that we do maintain and between a male and female, whether the female be the person in charge or the male be the person in charge, there should always be a degree of I'm not your friend. 
Interviewee:		And a lot of times that gets blurred and we can tell immediately when it's too friendly.  And it causes tension within the platoon because we notice favoritism, we notice – when there's so many details handed out, nobody wants to do them.  And we notice when there's one person that gets out of all of them. 
Interviewee:		It could be a weekend work assignment, a guard shift, it could be just they need somebody to go down here and fill up sand bags. 
Interviewee:		They're all undesirable.  
Interviewee:		So when there's a person that misses three or four in a row, we can tell that there's something going on. 
Interviewee:		It does.  It breaks down the platoon.  It breaks down the cohesion within the squads and within the platoon because we tend to isolate that person. 
Interviewee:		We tend to push that person out of our ranks.","joopark",2000-11-04 07:51:00,1413,2.650137,"So we know when things are going on we can tell when an NCO because there is professionalism that we do maintain and between a male and female whether the female be the person in charge or the male be the person in charge there should always be a degree of I am not your friend. And a lot of times that gets blurred and we can tell immediately when it is too friendly. And it causes tension within the platoon because we notice favoritism we notice when there is so many details handed out nobody wants to do them. And we notice when there is one person that gets out of all of them. It could be a weekend work assignment a guard shift it could be they need somebody to go down here and fill up sand bags. they are all undesirable. So when there is a person that misses three or four in a row we can tell that there is something going on. It does. It breaks down the platoon. It breaks down the cohesion within the squads and within the platoon because we tend to isolate that person. We tend to push that person out of our ranks."
"2",2,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Favoritism",92,94,0,"Interviewee:		We are – we firmly believe that if we can't trust you here in Garrison to do what's right, we definitely can't trust you to watch our back when it really happens. 
Interviewee:		So we expect everyone to maintain a professional – I mean there's, like I said, there's a difference in joking and keeping us closer and pulling away to be closer to a leader, you know, the leadership maintain an even amount of favoritism amongst the entire platoon.","joopark",2000-11-04 07:53:00,482,0.90401,"We are we firmly believe that if we can not trust you here in Garrison to do what is right we definitely can not trust you to watch our back when it really happens. So we expect everyone to maintain a professional I mean there is I said there is a difference in joking and keeping us closer and pulling away to be closer to a leader you know the leadership maintain an even amount of favoritism amongst the entire platoon."
"3",3,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Leader.deliberately.behaving.against.Military.valuesstandards",182,194,0,"Interviewee:		And I say it because I care.  One of the examples we have was we have  new lieutenant and she is – she's been in the military, but she was, you know, a lower listed in the reserves and now she's commissioned to become active duty, you know, officer.  
Interviewee:		But she's still a rookie.  It's different with the reserves, you know, one weekend a month versus living the culture every day. 
Interviewee:		So she has this mentality of – she's still kind of an E4 in the head. 
Interviewee:		And she wants to socialize with us.  And as a platoon leader, that's kind of taboo.  You can't really involve yourself in lower unlisted drama or gossip. 
Interviewee:		When you are an officer.  At that point, we should have very minimal contact with you. 
Interviewee:		You are administrative, you work papers, you know, you do computer, and we are out, we – you tell our platoon sergeant what we need to get done and he tells us which people are going to do what.  We should never directly engage you, and you should never really engage us unless it's a good morning. 
Interviewee:		But it – she's almost, you know, getting down playing the games we get, we play and the jokes we have amongst ourselves, she involves herself and that's okay to an extent, but if someone else were to see it, it causes – it puts her in a place where she can be in trouble for it.","joopark",2000-11-04 08:35:00,1511,2.83394,"And I say it because I care. One of the examples we have was we have new lieutenant and she is she is been in the military but she was you know a lower listed in the reserves and now she is commissioned to become active duty you know officer. But she is still a rookie. it is different with the reserves you know one weekend a month versus living the culture every day. So she has this mentality of she is still kind of an E4 in the head. And she wants to socialize with us. And as a platoon leader that is kind of taboo. You can not really involve yourself in lower unlisted drama or gossip. When you are an officer. At that point we should have very minimal contact with you. You are administrative you work papers you know you do computer and we are out we you tell our platoon sergeant what we need to get done and he tells us which people are going to do what. We should never directly engage you and you should never really engage us unless it is a good morning. But it she is almost you know getting down playing the games we get we play and the jokes we have amongst ourselves she involves herself and that is okay to an extent but if someone else were to see it it causes it puts her in a place where she can be in trouble for it."
"4",4,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Unethical.leader.behavior",284,286,0,"Interviewee:		We had some issues not too long ago where the leader that we're currently under kind of looks out for himself.  And we had to address this with the platoon sergeant to let him know, hey, this is our leader and we have to follow what he says, but he's not here, we don't see him much, he's been in schools back to back, and schools are good for him because they help him get promoted, but us being lower unlisted, we want to get promoted too.  And we can't go to schools if you're in schools. 
Interviewee:		So, you know, we just felt like he was taking care of himself and neglecting us.","joopark",2000-11-04 09:19:00,625,1.172212,"We had some issues not too long ago where the leader that we are currently under kind of looks out for himself. And we had to address this with the platoon sergeant to let him know hey this is our leader and we have to follow what he says but he is not here we do not see him much he is been in schools back to back and schools are good for him because they help him get promoted but us being lower unlisted we want to get promoted too. And we can not go to schools if you are in schools. So you know we felt he was taking care of himself and neglecting us."
"5",5,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Leader.hypocrisy",298,302,0,"Interviewee:		I've had NCO's, not so much here, but in the past that hold me to a standard of integrity, but have cheated their way to their rank. 
Interviewee:		I've had NCO's that hold me to a standard of physical fitness, but can't complete a run.  And it makes you view them as less.  It's hard to trust them, well not so much trust, but it's hard to respect them. 
Interviewee:		If you tell me I need to do something then we need to do it.","joopark",2000-11-04 09:25:00,494,0.926516,"I have had NCO's not so much here but in the past that hold me to a standard of integrity but have cheated their way to their rank. I have had NCO's that hold me to a standard of physical fitness but can not complete a run. And it makes you view them as less. it is hard to trust them well not so much trust but it is hard to respect them. If you tell me I need to do something then we need to do it."
"6",6,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Unethical.leader.behavior",306,308,0,"Interviewee:		I had a sergeant major that had an affair with one of his soldiers. 		
Interviewee:		He was married to one of my friends.  And she ended up being pregnant.  And she got kicked out of the military, but he being a sergeant major and they have their own little mafia, they look out for each other and it got swept under the rug for him.  He's still in the military; he should have been kicked out first.  But I can't trust because he's crossed a boundary that's unforgivable.  You can't – one, you can't sleep with your soldiers.","joopark",2000-11-04 09:27:00,563,1.055929,"I had a sergeant major that had an affair with one of his soldiers. He was married to one of my friends. And she ended up being pregnant. And she got kicked out of the military but he being a sergeant major and they have their own little mafia they look out for each other and it got swept under the rug for him. he is still in the military; he should have been kicked out first. But I can not trust because he is crossed a boundary that is unforgivable. You can not one you can not sleep with your soldiers."
"7",7,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Leader.hypocrisy",326,326,0,"Interviewee:		Right.  I might lose some respect if you're pushing me to meet a standard, or you're nitpicking about how badly I'm doing, but then later on I find out you're worse than I am.   I might lose a little respect for you, but I’m not going to distrust you.","joopark",2000-11-04 09:34:00,265,0.497018,"Right. I might lose some respect if you are pushing me to meet a standard or you are nitpicking about how badly I am doing but then later on I find out you are worse than I am. I might lose a little respect for you but I’m not going to distrust you."
"8",8,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R1-1","Unethical.leader.behavior",330,332,0,"Interviewee:		And that way you're standing up for your platoon because we need to rest and we're people too, we're tired.  But we have certain NCO's that just take whatever's thrown at them, because they say, oh I guess they figure I don't have to do the manual labor.  My soldiers are going to do it. 
Interviewee:		They'll get it done and I look good for it.","joopark",2000-11-04 09:35:00,384,0.720207,"And that way you are standing up for your platoon because we need to rest and we are people too we are tired. But we have certain NCO's that take whatever's thrown at them because they say I guess they figure I do not have to do the manual labor. My soldiers are going to do it. they will get it done and I look good for it."
"9",9,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Favoritism",14,28,0,"Interviewee:		Other stuff.  I feel like a lot of people get out – I feel like certain people get away with certain things. 
Interviewee:		A lot of people don't get away with. 
Interviewee:		Oh, it's mostly towards females though. 
Interviewee:		You know, like they get a lot more than what someone else will.  Like they can be – they can come to formation late or something like that. 
Interviewee:		And they can just use some random excuse and if a male does it, then it's, you know, like a countless statement or some kind of precautions toward that. 
Interviewee:		Oh yeah. 
Interviewee:		That's the whole army though, that's been like through basic all the way up. 
Interviewee:		Yeah.","sujunjie",2000-11-02 11:11:00,970,2.249849,"Other stuff. I feel a lot of people get out I feel certain people get away with certain things. A lot of people do not get away with. it is mostly towards females though. You know they get a lot more than what someone else will. they can be they can come to formation late or something that. And they can use some random excuse and if a male does it then it is you know a countless statement or some kind of precautions toward that. yeah. that is the whole army though that is been through basic all the way up. Yeah."
"10",10,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Leader.hypocrisy",175,182,0,"
Interviewee:		Yeah. 
Interviewee:		Because it would just be out of hand at that point.  And after that it's he said, she said kind of thing. 
Interviewee:		Because like I said, most time, the people perform and [inaudible] NCO's or another officer doing it, [inaudible], but yeah, so like – if I – so if went to my platoon sergeant and said hey, sergeant so and so over there is, you know, I saw them out with another woman, but I know he's married or whatever, literally he or she will just be like, hey, hey, let this shit go, you know, just let it go, don't address it, you know, that's on them. 
Interviewee:		We don't want attention brought to that kind of thing.","Kelly",2000-11-06 16:32:00,935,2.168669,"Yeah. Because it would be out of hand at that point. And after that it is he said she said kind of thing. Because I said most time the people perform and NCO's or another officer doing it but yeah so if I so if went to my platoon sergeant and said hey sergeant so and so over there is you know I saw them out with another woman but I know he is married or whatever literally he or she will be hey hey let this shit go you know let it go do not address it you know that is on them. We do not want attention brought to that kind of thing."
